Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	28.207144	15.319221	90.0	9.0	28.207144	-0.0047285203	0.081502505	0.2595374	-0.31907275	4000	-1.6763806e-08	395.64062	-0.017785808	-218.70999	0.0080742035	0.0	24.08167028427124
1	29.861538	15.585869	106.0	10.0	29.861538	9.336619	1.5302942	13.16978	-1.8901882	8000	6.7055225e-08	198.13902	-0.021623764	-75.74451	0.0080201365	0.0	59.7337806224823
2	42.717392	27.244596	154.0	11.0	42.717392	16.727808	2.6010878	19.538073	-4.492379	12000	0.0	330.73932	-0.018422648	-69.28083	0.007529868	0.0	83.52692246437073
3	57.35294	39.99918	225.0	10.0	57.35294	22.581343	4.0601134	25.092234	-9.287622	16000	1.3038516e-08	463.70392	-0.023856366	-75.77619	0.007789547	0.0	118.48566555976868
4	98.76316	54.101482	239.0	25.0	98.76316	28.022163	8.126865	31.403393	-29.637167	20000	-1.8626451e-08	753.63007	-0.017232038	-241.02928	0.0072152	0.0	151.84966945648193
5	151.66667	81.560646	380.0	14.0	151.66667	37.748627	4.1677976	39.71258	13.758702	24000	-7.450581e-09	830.4557	-0.013595188	-292.93585	0.006674567	0.0	175.12477350234985
6	237.2	64.98636	393.0	145.0	237.2	45.090458	8.88685	49.56697	9.183277	28000	-7.636845e-08	714.74524	-0.014671228	-287.2149	0.008388746	0.0	209.56167221069336
7	240.33333	75.2752	499.0	174.0	240.33333	51.262306	13.008788	58.286694	12.499133	32000	5.9604645e-08	433.5548	-0.009733874	-160.28957	0.008588794	0.0	232.0808093547821
8	272.92307	80.94296	500.0	178.0	272.92307	55.443695	15.368425	64.511604	9.334093	36000	1.8626451e-08	375.3756	-0.007129248	-118.23576	0.008410649	0.0	258.3401985168457
9	362.0	85.08084	475.0	227.0	362.0	60.440083	15.221896	69.72169	9.994259	40000	-2.6077032e-08	503.70148	-0.0069711953	-207.79941	0.006373726	0.0	292.5903193950653
10	412.44446	87.30548	500.0	273.0	412.44446	69.769455	13.668918	75.32442	8.845492	44000	-4.656613e-09	322.62616	-0.0064542294	-68.76295	0.009200168	0.0	328.4856655597687
11	495.25	12.567319	500.0	462.0	495.25	77.51047	8.193159	79.241264	14.288495	48000	2.7939677e-09	568.5907	-0.003952858	-49.339	0.00838732	0.0	349.4442892074585
12	435.66666	122.25838	500.0	160.0	435.66666	72.02642	17.451635	80.48732	7.9354663	52000	2.6077032e-08	527.5204	-0.0050247777	-75.636566	0.008710049	0.0	375.63365507125854
13	384.75	98.012436	500.0	244.0	384.75	74.52443	18.143147	81.74109	5.897817	56000	-1.4901161e-08	238.9902	-0.004245784	-62.925987	0.006547545	0.0	401.5697720050812
14	338.8889	98.95167	500.0	155.0	338.8889	69.82806	20.40368	84.53331	7.204372	60000	-5.5879354e-09	231.04974	-0.013353227	-65.774	0.008365675	0.0	433.3501179218292
15	381.875	95.39188	500.0	274.0	381.875	82.06797	10.910541	86.095055	9.014663	64000	5.5879354e-09	593.7203	-0.0070820022	-99.38476	0.009207075	0.0	467.96179485321045
16	500.0	0.0	500.0	500.0	500.0	81.35404	6.6681437	85.66398	43.73031	68000	3.7252903e-09	548.1754	-0.0044794157	-40.521385	0.008725947	0.0	500.8136501312256
17	500.0	0.0	500.0	500.0	500.0	81.60111	5.990307	84.94958	47.685966	72000	4.4237822e-09	672.2586	-0.0044713384	-130.23676	0.008431767	0.0	534.3416693210602
18	464.0	58.31595	500.0	323.0	464.0	80.592186	4.3705606	83.972084	70.46467	76000	3.958121e-09	529.5719	-0.009587416	-82.33243	0.008598813	0.0	560.6537652015686
19	500.0	0.0	500.0	500.0	500.0	76.531815	8.937446	83.97088	38.70897	80000	2.7939677e-09	565.3308	-0.0061155427	-190.96921	0.008439147	0.0	582.9570074081421
20	441.125	84.37334	500.0	261.0	441.125	80.92552	12.632105	86.34826	10.358395	84000	3.7252903e-09	433.45956	-0.004723707	-78.66128	0.008641103	0.0	619.7056646347046
21	500.0	0.0	500.0	500.0	500.0	85.66347	2.61428	87.04959	72.62925	88000	2.7939677e-09	603.3307	-0.0022332948	-96.76658	0.0051048556	0.0	646.4598047733307
22	430.875	98.063034	500.0	222.0	430.875	73.94527	17.513996	85.62471	4.8612394	92000	1.1175871e-08	488.94092	-0.0053180084	-124.16373	0.008696626	0.0	682.066419839859
23	459.375	71.793	500.0	309.0	459.375	76.28587	14.070934	86.98185	15.161328	96000	-2.0489097e-08	419.84515	-0.008951947	-118.774826	0.009132172	0.0	707.5412764549255
24	500.0	0.0	500.0	500.0	500.0	84.08453	5.51942	88.20699	62.58476	100000	4.1909516e-09	561.6516	-0.0044303285	-79.33215	0.0072831213	0.0	740.7617845535278
25	477.5	40.36087	500.0	389.0	477.5	80.26654	10.521227	88.25258	4.964838	104000	-3.7252903e-09	464.5012	-0.0043661175	-69.72548	0.009836411	0.0	772.3337850570679
26	500.0	0.0	500.0	500.0	500.0	82.36458	6.591762	89.47099	66.40282	108000	9.313226e-10	584.5088	-0.0026387153	-62.472755	0.008555944	0.0	805.5976529121399
27	447.375	57.51508	500.0	347.0	447.375	77.89896	15.399582	87.34832	11.690646	112000	-6.519258e-09	195.66316	-0.003759278	-135.14911	0.0051306747	0.0	839.0563695430756
28	456.125	45.772366	500.0	369.0	456.125	79.44166	20.219173	91.0089	10.446891	116000	3.7252903e-09	90.406494	-0.006103106	-44.697563	0.008814095	0.0	870.9424479007721
29	417.875	70.50432	500.0	295.0	417.875	69.81361	34.520123	92.80797	-6.8860693	120000	-7.450581e-09	391.635	-0.008448262	-353.55423	0.007916673	0.0	891.4220285415649
30	478.125	30.657125	500.0	425.0	478.125	80.77764	17.803717	93.113976	12.522634	124000	1.1175871e-08	231.7937	-0.0048250817	-26.494469	0.0068729827	0.0	931.5656723976135
