Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-720.2975	156.461	-527.6175	-953.0331	1000.0	0.16270365	1.0089852	2.644445	-2.1414557	4000	2.9802322e-08	4893.382	-0.055899806	-902.9155	0.0090786405	0.0	5.478900194168091
1	-884.9002	111.64155	-696.0872	-985.59717	1000.0	-6.504564	4.169089	8.305614	-15.518035	8000	-7.450581e-09	6129.367	-0.056087963	-2241.3516	0.009008793	0.0	10.174421787261963
2	-876.47406	155.85709	-669.0709	-1098.6105	1000.0	-14.093317	18.568747	24.378101	-24.69534	12000	9.685755e-08	4938.1416	-0.06005357	-1743.098	0.00919293	0.0	14.198024272918701
3	-769.5198	110.357155	-594.1335	-890.07043	1000.0	-30.364496	1.1670706	-10.491666	-30.808506	16000	3.7252903e-09	2486.3452	-0.059763256	-399.56326	0.009032067	0.0	29.949958324432373
4	-641.32275	59.60524	-558.1689	-725.17755	1000.0	-35.91874	0.32230735	-21.593134	-36.013355	20000	-7.450581e-09	918.2816	-0.058595516	-137.07065	0.008995069	0.0	47.78511452674866
5	-751.33905	187.55772	-539.1411	-1046.1814	1000.0	-39.187206	0.1357132	-36.868435	-39.256626	24000	-4.4703484e-08	1710.8519	-0.059986457	-220.25426	0.0091562355	0.0	62.86061406135559
6	-780.58136	284.37964	-472.98468	-1238.1779	1000.0	-43.263596	0.12298158	-41.259182	-43.316353	28000	2.9802322e-08	1867.0363	-0.05865313	-177.21259	0.009082559	0.0	86.01797270774841
7	-749.8609	81.951515	-669.7778	-886.63873	1000.0	-47.02795	0.2845192	-35.42059	-47.120102	32000	7.450581e-09	1153.192	-0.057568457	-116.21976	0.008995722	0.0	114.3580493927002
8	-732.72266	91.72641	-607.83496	-861.2362	1000.0	-50.003056	1.1636128	-29.829563	-50.292263	36000	2.9802322e-08	877.01196	-0.0631066	-80.64879	0.0091704205	0.0	136.5828218460083
9	-694.44196	109.25553	-511.95953	-797.0514	1000.0	-52.890774	0.6801037	-32.364235	-52.99154	40000	-2.9802322e-08	969.76404	-0.056878816	-30.899738	0.009076599	0.0	160.09939289093018
10	-709.8352	90.24619	-585.06067	-840.175	1000.0	-54.210213	2.0876973	26.455114	-54.53676	44000	-7.450581e-09	606.2879	-0.060627125	-28.385078	0.009060055	0.0	184.883296251297
11	-728.4187	150.12337	-541.16846	-941.97687	1000.0	-55.881287	1.3287423	7.0096774	-56.00787	48000	1.4901161e-08	722.08594	-0.06537911	-38.273487	0.008980186	0.0	207.98995852470398
12	-787.6686	155.2864	-527.50055	-917.13947	1000.0	-57.79067	0.842918	-24.03983	-57.896774	52000	-3.7252903e-08	916.4227	-0.062307805	-73.71008	0.009139889	0.0	231.6746973991394
13	-646.0305	117.71731	-530.2169	-831.5616	1000.0	-60.59047	0.5108586	-39.86562	-60.67183	56000	1.4901161e-08	485.1513	-0.06057191	-0.8847122	0.009005544	0.0	258.9860112667084
14	-752.70856	115.67	-564.255	-879.45636	1000.0	-60.415947	0.79629666	-34.603104	-60.544147	60000	7.450581e-09	967.80774	-0.061700754	-26.248558	0.009070113	0.0	279.91654443740845
