Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	19.29439	8.358269	45.868977	7.1642084	19.188406	-0.24393487	0.21251325	0.44976515	-0.78715706	4000	5.2154064e-08	181.30038	-0.036200322	-129.51474	0.009564939	0.0	55.07476234436035
1	23.072357	10.446935	58.356358	7.1234665	21.595629	9.970971	1.9157999	12.234769	-3.99511	8000	-3.5390258e-08	91.7487	-0.034612335	-33.58773	0.009630643	0.0	108.81474614143372
2	29.185923	13.966971	78.95459	8.7685995	25.848684	13.240922	3.877131	17.353584	-3.384946	12000	-3.7252903e-08	114.807945	-0.039653067	-22.348043	0.009682594	0.0	163.63195180892944
3	40.951786	19.515629	101.58942	9.54002	33.050846	16.274485	5.3809485	22.015062	-2.6988761	16000	-1.3038516e-08	239.98615	-0.03582698	-61.180313	0.009763181	0.0	233.74675822257996
4	55.4802	32.392517	221.9785	15.510118	40.85567	22.402098	6.8663497	28.608114	-7.6397853	20000	-1.4901161e-08	543.1358	-0.032304607	-114.4659	0.009762962	0.0	304.0067584514618
5	96.68199	54.33924	264.79575	16.24556	61.4375	30.724989	7.0016365	36.37544	-3.94759	24000	-6.519258e-08	1367.2241	-0.03327647	-400.96185	0.009312883	0.0	373.8915238380432
6	146.3075	69.937775	292.2951	20.680344	80.76596	44.7203	7.143434	48.121017	-5.8551135	28000	1.8626451e-08	2156.8853	-0.028366119	-577.952	0.009199567	0.0	444.7387571334839
7	208.92383	46.680645	284.6161	83.56585	105.0	58.50005	3.9562905	59.94926	16.25081	32000	-7.357448e-08	2228.0146	-0.020350322	-780.6487	0.00776922	0.0	515.2507643699646
8	224.87685	29.475588	272.9226	87.2901	110.02941	64.33026	14.689936	70.994316	12.182778	36000	-9.313226e-09	1557.399	-0.016046388	-485.7391	0.007848997	0.0	585.7594592571259
9	223.89442	23.832968	268.3211	140.4278	107.457146	70.09195	18.944292	79.67958	15.433922	40000	1.9557774e-08	1131.0833	-0.0146063	-310.47897	0.007228248	0.0	648.4107718467712
10	221.88368	7.141045	237.64734	209.64246	102.22222	73.73438	22.253656	86.360245	4.913695	44000	-3.3527613e-08	831.62726	-0.015469654	-232.2235	0.0079946825	0.0	723.0507578849792
11	211.75891	32.960766	256.06198	22.289167	95.76923	78.4036	23.907606	92.07149	-1.2754802	48000	-3.3527613e-08	634.4868	-0.019290641	-153.94562	0.007611249	0.0	792.8253343105316
12	216.30852	6.9436326	229.03244	199.58684	97.666664	80.297485	26.661774	96.72951	3.3181624	52000	4.0745363e-08	419.24118	-0.017620362	-106.860535	0.008151231	0.0	864.7388818264008
13	217.71855	7.8966384	247.71944	207.5612	98.48718	81.990456	28.337275	100.62842	3.6707425	56000	3.7252903e-09	319.8304	-0.015575424	-80.61105	0.008388561	0.0	934.6787581443787
