Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	6.6604366	6.257941	32.50856	-7.653577	27.284721	-0.2846413	1.0120348	2.1018972	-2.2628748	4000	1.4901161e-08	36.282333	-0.052133307	-14.190728	0.009369556	0.0	82.87067723274231
1	7.3644075	6.433714	30.533365	-5.987518	28.833334	2.9262226	1.645913	6.9451065	-2.1709175	8000	0.0	20.65292	-0.050868306	-3.392921	0.009421991	0.0	152.70750427246094
2	8.338473	6.053933	33.70191	-1.7684269	28.71852	3.3342807	2.1661856	8.428133	-3.0522914	12000	-1.8626451e-08	18.317299	-0.058368415	-2.5785758	0.009336276	0.0	222.31867384910583
3	10.55066	8.756207	51.121674	-10.058477	31.731707	4.0517097	2.5506454	9.680966	-4.823989	16000	1.1175871e-08	36.79158	-0.05123756	-9.916068	0.009257275	0.0	293.64667415618896
4	13.66837	10.896561	47.261227	-5.714142	35.0	5.584681	4.443265	14.667105	-13.214419	20000	-1.5832484e-08	48.536625	-0.050947074	-9.601829	0.009431208	0.0	363.9427032470703
5	12.888688	9.784805	49.037144	-2.6752865	34.88393	6.3952937	5.0218873	17.403584	-12.434494	24000	1.3038516e-08	40.889362	-0.0522513	-8.281514	0.009409577	0.0	434.86267280578613
6	14.410722	9.37468	40.752754	-6.0511937	36.11111	6.3819327	4.6812325	17.71534	-16.142801	28000	1.1175871e-08	31.438763	-0.04846863	-7.868917	0.009184285	0.0	505.85467624664307
7	19.244183	14.0308695	51.332268	-17.347004	41.31579	7.448465	5.319082	18.583447	-16.710772	32000	1.4901161e-08	74.76491	-0.054273926	-20.6884	0.0094275	0.0	576.0506682395935
8	21.261663	13.434766	59.454483	-2.9061322	42.0	10.322732	6.8901043	23.733522	-20.334179	36000	-1.8626451e-09	60.38134	-0.052336216	-14.22374	0.009430828	0.0	644.2946743965149
9	24.187841	14.296567	56.795147	-5.172888	44.67816	10.802035	6.521508	24.544817	-23.044937	40000	0.0	70.837364	-0.052553877	-17.327286	0.009366198	0.0	688.546671628952
