Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-623.5033	71.58955	-521.3988	-709.8887	1000.0	0.016804947	0.80479866	1.9752902	-1.9421806	4000	-1.7881394e-08	3806.61	-9.536745e-10	-660.17236	58227.344	9.0	4.293266296386719
1	-735.6947	43.51188	-700.91077	-808.65485	1000.0	-6.075295	7.3029017	13.70994	-14.429386	8000	-1.7619134e-07	4338.583	-2.384155e-10	-1653.8491	58227.344	9.0	8.184943199157715
2	-733.49896	86.729965	-670.93616	-882.33887	1000.0	-20.073578	4.124747	10.925934	-23.130709	12000	-5.9604645e-08	2767.75	3.814698e-09	-778.3125	58227.344	9.0	12.23068642616272
3	-642.4906	80.907	-514.99164	-739.80585	1000.0	-29.926699	0.6615237	-14.714447	-30.234943	16000	-1.692772e-08	1429.2596	3.0994425e-09	-258.60608	58227.344	9.0	15.95479965209961
4	-655.70905	62.08249	-557.96313	-730.2377	1000.0	-34.840446	0.21570903	-31.96994	-34.993263	20000	-6.711483e-08	1368.545	4.768381e-10	-196.3186	58227.344	9.0	19.707802057266235
5	-675.55945	56.730286	-604.76575	-757.1106	1000.0	-39.124752	0.16041514	-33.891953	-39.212738	24000	-2.7954579e-08	1115.034	-1.9073472e-09	-145.04797	58227.344	9.0	23.435059309005737
6	-672.1804	106.46845	-557.1623	-779.2537	1000.0	-42.868015	0.20971127	-35.77303	-42.957947	28000	5.7816507e-09	1078.9833	-2.384186e-09	-112.173035	58227.344	9.0	27.19070529937744
7	-714.1466	126.71909	-551.3464	-899.278	1000.0	-46.101063	1.0110418	-13.877448	-46.310425	32000	-2.2649764e-09	1105.3843	1.1920931e-10	-132.70691	58227.344	9.0	31.05102014541626
8	-581.79346	58.382423	-504.47675	-667.91376	1000.0	-49.76643	1.3332993	-16.851625	-49.994446	36000	4.529953e-09	776.2508	0.0	-33.917053	58227.344	9.0	34.79680895805359
9	-699.81805	122.317444	-615.8303	-910.8809	1000.0	-49.31262	4.0629573	23.20544	-50.884155	40000	-2.2649764e-09	825.65466	0.0	-82.627625	58227.344	9.0	38.630009174346924
10	-652.0039	77.88406	-530.31976	-733.0557	1000.0	-52.97684	0.9114397	-22.090664	-53.220573	44000	-2.360344e-08	776.1786	1.1920953e-10	-42.60962	58227.344	9.0	42.792466163635254
11	-740.2816	55.46936	-649.4735	-789.8138	1000.0	-53.86952	2.6348329	-0.7781051	-54.516506	48000	-4.7683715e-09	804.98334	-4.7683724e-10	-76.40399	58227.344	9.0	46.744046449661255
12	-671.93445	34.3334	-630.46533	-723.72095	1000.0	-56.96424	1.8327203	8.4108	-57.353954	52000	-5.9604643e-10	972.4653	0.0	-56.90869	58227.344	9.0	51.15984845161438
13	-668.91504	129.54045	-570.64655	-889.45026	1000.0	-55.478886	7.135859	15.360808	-58.96922	56000	-2.3841858e-08	803.96173	3.814698e-09	-50.10437	58227.344	9.0	55.161481618881226
14	-702.0514	69.14807	-633.3589	-816.7725	1000.0	-57.106594	5.154044	-20.023052	-59.941452	60000	-4.9352646e-08	848.93567	-1.4305108e-09	-90.2229	58227.344	9.0	58.930930376052856
15	-644.08344	66.200775	-581.1089	-754.86163	1000.0	-55.28919	13.236257	47.11499	-61.97701	64000	5.9604646e-09	587.4931	-4.7683724e-10	-179.02887	58227.344	9.0	62.833000898361206
16	-553.7121	100.24835	-456.48685	-693.45935	1000.0	-57.766663	6.8036118	31.24579	-62.099125	68000	-3.6358834e-08	502.68506	-1.6689299e-09	-89.66101	58227.344	9.0	66.57280564308167
17	-751.08386	188.65411	-587.39923	-1071.7247	1000.0	-53.024075	6.59389	4.822257	-61.40502	72000	-6.9141386e-09	1063.5258	3.2186507e-09	-196.06525	58227.344	9.0	70.46447253227234
18	-753.0341	121.02745	-630.3948	-941.23425	1000.0	-59.25695	6.478846	7.513631	-64.31051	76000	3.5762786e-09	567.2309	0.0	-61.50171	58227.344	9.0	74.29591727256775
