Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	18.272127	8.189871	57.046715	7.0380745	18.51389	0.09222498	0.116409235	0.51293266	-0.35602856	4000	-1.1920929e-08	163.65288	9.536745e-10	-110.57762	29113.672	9.0	10.386770009994507
1	18.281061	7.128766	41.54174	6.270953	18.387096	9.240782	1.5403527	11.084624	0.34906182	8000	4.887581e-09	43.752285	-4.7683724e-10	-15.124292	29113.672	9.0	19.561306715011597
2	17.792206	7.427915	55.536804	6.9434857	18.168182	9.8034725	3.6861227	14.175108	-1.866207	12000	-1.6689301e-09	30.797302	4.7683724e-10	-2.1346855	29113.672	9.0	28.28459143638611
3	18.752079	9.313924	70.79546	6.246455	18.769953	9.868481	4.3182364	15.339544	-1.604434	16000	-5.00679e-09	47.364174	0.0	-2.658863	29113.672	9.0	37.39779329299927
4	18.18412	8.118865	50.79168	7.009	18.405529	10.867867	4.8278465	16.853584	-0.67313236	20000	7.987023e-09	32.070023	7.152554e-10	-1.5818577	29113.672	9.0	46.32929992675781
5	17.729301	6.8329062	39.450344	6.226574	18.113636	10.529463	4.7662053	16.734169	-0.013433546	24000	1.4781952e-08	21.915073	-2.3841817e-10	-1.3370781	29113.672	9.0	54.60358548164368
6	18.26214	7.197129	43.663357	7.2217226	18.518518	9.693233	4.6099787	16.398035	-0.10031844	28000	1.1920929e-09	24.01875	4.7683724e-10	-0.8575115	29113.672	9.0	60.83380913734436
7	18.553495	7.883351	53.262093	8.491004	18.55814	10.370488	4.689702	17.037271	-0.4419697	32000	2.1457671e-09	28.737877	0.0	-1.3088799	29113.672	9.0	68.836354970932
8	18.184381	7.679393	48.45212	7.2038364	18.396313	10.695711	5.160843	17.895784	-1.7870394	36000	-5.9604643e-10	26.57423	-9.536744e-10	-0.6413975	29113.672	9.0	75.82306265830994
9	18.496103	8.421356	50.471798	7.250941	18.453703	10.240203	4.8309712	17.265154	-1.9303904	40000	1.66893e-08	31.25761	2.3841906e-10	-1.0236721	29113.672	9.0	85.80217599868774
