Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	5.857112	6.987263	35.2131	-8.202685	27.136055	0.51408166	0.70089304	2.0968976	-1.7796783	4000	7.390976e-09	33.62054	-2.3841862e-10	-9.223909	58227.344	9.0	5.616676092147827
1	6.5128508	7.0794415	33.6335	-5.328952	27.190475	0.82188356	2.6988804	7.3464346	-7.1900496	8000	6.437302e-09	25.327812	4.768368e-10	-3.7651978	58227.344	9.0	10.426135063171387
2	5.3972363	6.3716216	28.580967	-9.788581	27.923077	0.8879516	3.2277708	9.014964	-9.384913	12000	-2.5272369e-08	25.394226	1.4305108e-09	-5.7159653	58227.344	9.0	15.06032943725586
3	5.8750772	6.210348	26.220663	-8.195386	27.102041	0.15271911	3.3778012	9.014959	-11.543789	16000	-1.2397766e-08	19.78602	2.3841862e-09	-3.454197	58227.344	9.0	19.790979385375977
4	7.0368614	7.342493	36.200363	-8.5920515	29.367647	0.4417573	3.579755	10.257462	-12.128592	20000	-1.4305115e-09	24.728582	-7.1525563e-10	-4.45747	58227.344	9.0	24.447345733642578
5	6.188605	7.1903167	32.10482	-11.449826	27.363014	0.747684	4.001824	10.697866	-15.213991	24000	-6.437302e-09	23.370672	1.907349e-09	-4.38225	58227.344	9.0	29.0616238117218
6	6.3928747	7.109413	31.996748	-19.422201	27.63889	0.8811334	3.8857186	12.557155	-15.354743	28000	1.1920929e-08	22.539543	-1.907349e-09	-4.636856	58227.344	9.0	33.57243585586548
7	7.2798734	8.2445755	37.50987	-11.939564	30.242424	0.96905434	4.0311656	12.753244	-14.920355	32000	-6.437302e-09	31.23188	0.0	-6.5626144	58227.344	9.0	38.183791399002075
8	6.2725086	6.7636185	42.284122	-8.102255	28.276596	1.0084974	4.4097395	16.404173	-17.431053	36000	1.7881394e-08	23.835264	1.9073472e-09	-7.210346	58227.344	9.0	42.91391444206238
9	6.021025	5.9376416	23.896168	-10.176508	27.0	0.64720315	4.178261	16.1121	-16.967728	40000	-9.536744e-10	18.505148	-9.536744e-10	-4.3637924	58227.344	9.0	47.307379961013794
10	6.1491246	8.421864	45.75599	-11.790571	28.290781	0.50140655	3.8366208	10.781857	-16.113005	44000	-3.027916e-08	31.792265	9.536745e-10	-7.535429	58227.344	9.0	54.59936761856079
11	6.6423144	8.28397	56.25291	-3.8050115	27.6875	1.1970313	4.369696	21.030289	-18.0958	48000	1.013279e-08	27.764418	-4.7683724e-10	-6.114662	58227.344	9.0	63.61304569244385
12	5.7584195	5.6500087	22.4793	-6.990696	27.02721	1.0638202	4.2746587	16.214931	-15.2646675	52000	9.298325e-09	18.128572	-2.3841906e-10	-5.3537817	58227.344	9.0	72.06884098052979
13	6.0760703	6.687742	26.47923	-9.770822	26.453333	0.82033706	3.2813287	10.682752	-12.169702	56000	-2.9087067e-08	20.298567	9.536745e-10	-3.9589653	58227.344	9.0	81.07286357879639
14	7.837977	10.636802	103.34061	-8.279421	29.10949	0.99851125	4.212189	20.982824	-16.586258	60000	-3.886223e-08	62.69643	4.768381e-10	-24.773525	58227.344	9.0	89.47734594345093
15	6.322355	7.643861	50.06379	-9.949968	27.748251	1.2814666	4.982198	24.565245	-23.16644	64000	-1.45435335e-08	30.231327	-2.3841817e-10	-9.280897	58227.344	9.0	97.93008732795715
16	6.654851	6.6118417	31.937338	-7.680256	29.414814	0.4575585	4.666361	18.11908	-23.376154	68000	-9.536743e-09	25.250828	-7.152563e-10	-7.830082	58227.344	9.0	105.71687316894531
17	5.6833324	7.1936812	40.442673	-9.644953	26.626667	1.1237317	3.8677335	14.550941	-13.460221	72000	1.180172e-08	25.613327	-9.536745e-10	-6.2470074	58227.344	9.0	113.58593940734863
18	6.235697	7.1078568	37.637253	-4.404184	28.198582	0.25179303	3.847832	18.614687	-14.481827	76000	-2.1457671e-09	24.825493	2.384184e-10	-5.794649	58227.344	9.0	121.54801964759827
19	5.704977	6.4390063	29.333534	-13.800506	27.321918	0.6518571	3.958487	17.226072	-16.58605	80000	-6.556511e-09	19.762487	-9.536745e-10	-5.317402	58227.344	9.0	129.23561334609985
20	7.110851	10.0838175	81.07242	-11.023289	28.633093	0.61081934	4.02062	25.88205	-15.071692	84000	2.2411346e-08	46.32461	2.145768e-09	-13.790749	58227.344	9.0	137.7338569164276
21	6.701278	7.4711046	37.286514	-8.516862	28.719425	1.2420766	4.9382486	23.792143	-19.94609	88000	-1.5497207e-08	26.8277	4.7683635e-10	-7.3651085	58227.344	9.0	146.3129665851593
